Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,Games,W,L,GAA,SV%,Shutouts,Win %,Shutout %
4,G,31,5000000,Varlamov,6.10%,2018-2019,49,20,28,2.87,0.909,2,0.408163265,0.040816327
2,G,31,4300000,Holtby,5.30%,2019-2020,48,25,20,3.11,0.897,0,0.520833333,0
3,G,32,2750000,Hutton,3.50%,2017-2018,32,17,10,2.09,0.931,3,0.53125,0.09375
3,G,33,3666667,Talbot,4.50%,2019-2020,26,12,11,2.63,0.919,2,0.461538462,0.076923077
3,G,33,7000000,Fleury,8.80%,2017-2018,46,29,17,2.24,0.927,4,0.630434783,0.086956522
1,G,34,2250000,Halak,2.76%,2019-2020,31,18,12,2.39,0.919,3,0.580645161,0.096774194
3,G,34,3333333,Khudobin,4.10%,2019-2020,30,16,12,2.22,0.93,0,0.533333333,0
2,G,34,3600000,Greiss,4.40%,2019-2020,31,16,13,2.74,0.913,0,0.516129032,0
2,G,35,3900000,Crawford,4.79%,2019-2020,40,16,23,2.77,0.917,1,0.4,0.025
1,G,35,1500000,Elliott,1.84%,2019-2020,31,16,11,2.87,0.899,2,0.516129032,0.064516129
2,G,36,5000000,Rinne,6.29%,2017-2018,59,42,17,2.31,0.927,8,0.711864407,0.13559322
2,G,36,1300000,McElhinney,1.60%,2018-2019,33,20,13,2.58,0.912,2,0.606060606,0.060606061
1,G,38,1500000,Smith,1.84%,2019-2020,39,19,18,2.95,0.902,1,0.487179487,0.025641026
1,G,38,1500000,Hank,1.84%,2019-2020,30,10,15,3.16,0.905,1,0.333333333,0.033333333
1,G,40,1000000,Miller,1.23%,2019-2020,23,9,10,3.1,0.907,0,0.391304348,0
